Y,X1,X2,X3
26927460,294,426,215
5293128,669,344,23
145533500,430,350,967
28997648,304,181,527
8190600,146,220,255
524749896,744,957,737
6293910,595,43,246
92109150,810,399,285
5886958,49,254,473
577446480,912,955,663
49127925,181,385,705
159756480,520,753,408
66708480,192,808,430
4996600,215,56,415
88430940,459,676,285
20958300,145,438,330
19254092,286,821,82
20552532,754,59,462
5245786,38,287,481
21665280,224,208,465
373981674,969,583,662
4075632,913,8,558
46779132,201,701,332
10018456,116,217,398
123835348,917,364,371
113316288,816,932,149
321997728,892,507,712
238158627,901,861,307
28276470,873,790,41
72385320,510,548,259
110338200,270,834,490
441003900,445,996,995
141382710,731,630,307
103629078,423,399,614
469238850,877,725,738
4385808,798,6,916
130280496,236,716,771
1747040,358,976,5
123704322,343,831,434
8949070,365,533,46
85507240,520,169,973
141867072,684,894,232
49723375,925,827,65
7515480,389,483,40
14455584,104,486,286
411633888,696,796,743
9502848,144,292,226
129275055,315,619,663
1855476,28,597,111
10208160,18,834,680
125467100,683,835,220
75302472,248,761,399
239016088,604,482,821
83509434,447,963,194
12385044,833,413,36
37984464,126,474,636
349200,194,600,3
38566528,172,308,728
111912780,970,201,574
664037652,951,908,769
5178888,66,156,503
299802580,959,490,638
115217276,628,271,677
19531200,26,939,800
215631336,643,628,534
27280800,842,648,50
385201152,896,853,504
30187161,81,387,963
102128040,420,711,342
126774320,548,538,430
7215950,25,742,389
118739610,682,365,477
71584464,483,157,944
153329664,408,734,512
11642400,110,147,720
218656680,407,660,814
12323840,58,320,664
64870476,498,382,341
98879536,287,976,353
1008644,442,326,7
2648640,240,124,89
9022590,162,395,141
396993688,868,637,718
77696892,148,819,641
2553408,78,62,528
38470194,294,201,651
200853516,419,929,516
281630768,857,752,437
22324500,250,738,121
2889936,168,122,141
5583600,432,517,25
14396262,38,431,879
31938648,204,422,371
46452384,132,682,516
78787800,420,195,962
386160180,980,589,669
165263460,906,185,986
353342031,973,831,437
296094456,441,712,943
132496760,298,470,946
17747850,895,30,661
116754000,366,725,440
1544076,261,34,174
33947760,264,334,385
5671336,34,892,187
28503118,127,287,782
289267020,843,665,516
55698120,969,958,60
66865344,178,516,728
51792156,108,481,997
58029678,369,329,478
51114600,146,450,778
55130400,76,775,936
408801632,716,856,667
433825014,763,579,982
41550432,539,88,876
164555660,772,479,445
521769600,976,825,648
45851982,922,363,137
102545160,746,316,435
38053106,343,221,502
46974128,746,463,136
22870848,52,952,462
2161536,866,312,8
7922430,45,226,779
183862875,787,623,375
70638210,659,794,135
552086628,799,811,852
28356867,561,249,203
193678128,999,336,577
21818150,734,725,41
130172724,171,803,948
45413446,674,949,71
97706854,697,527,266
7482618,114,143,459
104800520,472,367,605
307676880,720,969,441
2138184,513,521,8
16729672,103,632,257
300797490,654,595,773
14918400,148,450,224
13800,10,92,15
7374800,515,80,179
7866312,291,31,872
175269882,751,582,401
20312634,61,381,874
49652640,464,205,522
98427824,737,982,136
19720260,81,470,518
58573008,467,936,134
68286108,242,718,393
122538906,387,359,882
180807648,476,392,969
41758080,80,728,717
25939620,204,245,519
15100440,24,895,703
111609120,236,840,563
265773444,573,646,718
126120176,329,988,388
307564608,832,827,447
13178775,199,75,883
62702416,92,707,964
615148800,995,960,644
1524544,83,56,328
177796325,271,815,805
7975296,276,344,84
25637769,261,137,717
6143204,142,97,446
208408326,609,431,794
76841520,371,863,240
92420185,793,143,815
102537260,635,511,316
7270500,393,740,25
11121440,568,110,178
25918200,77,612,550
332677364,797,964,433
37407150,605,90,687
476476,44,17,637
57957900,650,231,386
517793360,721,955,752
87293440,520,172,976
111564616,838,332,401
26772312,292,177,518
219708096,916,263,912
20854848,413,64,789
301237664,752,403,994
43267416,824,761,69
205456440,883,420,554
151956216,657,838,276
167510224,466,524,686
252230295,641,555,709
118734120,180,669,986
10097184,69,272,538
7996114,587,14,973
207678300,775,652,411
21934080,640,36,952
13319460,558,154,155
3180600,775,342,12
204634220,460,721,617
116296080,191,688,885
26570472,568,93,503
50930487,353,369,391
136608227,647,217,973
224226144,628,783,456
23723392,896,319,83
138489446,566,629,389
121830842,487,334,749
441474760,898,523,940
248508615,515,717,673
899731800,990,972,935
12797568,483,207,128
90751158,106,999,857
501504378,633,958,827
10533380,754,22,635
34909056,999,672,52
6723000,45,996,150
189652575,301,775,813
158276750,925,482,355
87201840,737,255,464
159870830,245,862,757
13443136,448,811,37
989172,71,324,43
488104680,931,771,680
3409560,615,924,6
2769200,920,301,10
322920,207,130,12
234533970,241,983,990
50190210,105,798,599
7123200,64,530,210
13571415,165,117,703
6486480,378,39,440
17329542,311,251,222
338384277,477,913,777
136574128,859,304,523
104416228,644,577,281
14328320,640,58,386
10128888,396,98,261
67082400,825,132,616
152386500,631,805,300
170112624,627,496,547
265312488,636,581,718
121678200,666,609,300
62473840,254,559,440
166670658,419,902,441
42095430,179,335,702
366269802,874,489,857
402480,8,117,430
20915496,522,954,42
228614400,972,245,960
57722220,162,535,666
4130000,280,295,50
6495222,193,158,213
4817232,216,177,126
75966066,127,627,954
12925440,792,192,85
57631696,211,688,397
166139736,658,397,636
198371160,398,780,639
40232572,751,227,236
258552,324,7,114
322900864,506,832,767
12471480,882,101,140
24928010,89,757,370
163050006,509,609,526
43294608,216,278,721
57200256,324,288,613
6918912,216,182,176
163390500,750,798,273
5180030,790,83,79
3376384,44,218,352
48935160,90,751,724
72278718,277,277,942
634475930,985,874,737
52686270,735,78,919
525987360,984,885,604
12335102,871,146,97
686070,198,99,35
988840,419,590,4
47633184,138,459,752
3749460,190,138,143
31790000,425,110,680
120235440,866,195,712
238292604,836,391,729
4478110,37,931,130
154033152,754,224,912
7265258,247,154,191
85241910,690,169,731
1714608,972,588,3
10550085,131,455,177
13281190,361,130,283
380939520,960,587,676
596996400,994,650,924
68510754,386,333,533
10124780,86,386,305
14298276,454,362,87
13805028,282,597,82
155488800,412,925,408
25012260,195,252,509
1102080,328,14,240
69845238,218,873,367
109608720,645,172,988
37717218,846,579,77
184482000,750,296,831
41323968,777,96,554
9790290,30,543,601
62357120,449,320,434
126110108,619,961,212
18541796,766,49,494
68806980,279,295,836
99207180,810,447,274
30281916,401,93,812
4087200,40,131,780
160516356,294,598,913
36911160,956,715,54
1126872,666,4,423
58660858,86,887,769
203841120,721,496,570
16906428,38,642,693
37282770,434,747,115
442824192,768,618,933
178312000,320,775,719
68851804,926,226,329
410845314,538,951,803
215713026,337,774,827
52267005,861,285,213
317599263,813,591,661
234755136,632,792,469
629964,36,19,921
40060075,275,451,323
446845410,730,687,891
191564751,287,813,821
386330472,648,653,913
157638688,368,731,586
278712000,504,632,875
5396248,13,979,424
200765376,808,612,406
2013735,85,159,149
26661717,243,657,167
19662720,480,77,532
121457112,731,322,516
19917144,468,173,246
1136768,107,83,128
1975808,128,454,34
126628992,383,504,656
406318683,709,661,867
71692384,401,296,604
82562520,692,582,205
376397280,560,922,729
27988664,106,374,706
90532488,758,148,807
138774000,606,229,1000
30084390,159,714,265
6331416,169,892,42
127885865,437,535,547
16528368,712,53,438
4615800,168,35,785
254710368,424,902,666
5337376,514,236,44
11703094,157,122,611
60451677,429,307,459
154173376,592,524,497
241800790,385,794,791
114862046,241,797,598
493500315,651,847,895
95128992,343,963,288
317667420,771,945,436
868032,48,132,137
455696780,998,593,770
61495200,584,351,300
173923200,495,384,915
205423155,673,765,399
24162270,590,803,51
177799050,325,594,921
68066850,610,173,645
26154832,859,346,88
134218688,904,554,268
393092399,581,941,719
566130924,828,841,813
244328728,862,764,371
