Y,X1,X2,X3
3008925,311,75,129
423544352,872,532,913
343792267,853,721,559
65837470,838,827,95
48222000,235,600,342
339204480,820,417,992
301625478,602,693,723
18227475,45,497,815
33697024,194,368,472
4722696,712,99,67
48837600,432,646,175
205553348,338,718,847
9958872,187,634,84
311307381,703,693,639
223248960,870,297,864
208719420,635,602,546
158526099,557,381,747
8235360,342,70,344
118862640,332,468,765
152465823,501,361,843
143471700,435,956,345
853446,193,134,33
747476464,934,868,922
114582720,944,867,140
254324394,369,734,939
47956320,653,255,288
28758015,109,615,429
74397582,93,907,882
8964270,279,765,42
44473592,62,922,778
178557060,580,627,491
41298144,568,498,146
302490528,718,804,524
242919600,275,924,956
130763760,411,820,388
66436686,486,183,747
250313700,865,420,689
78991360,551,224,640
421913542,526,821,977
80398500,589,375,364
8213400,195,120,351
99988182,202,729,679
92235660,395,671,348
290386044,867,339,988
371702320,946,470,836
18485936,146,833,152
57342354,123,514,907
11417025,797,15,955
83647900,350,794,301
242846,53,29,158
221176076,284,913,853
5034715,565,67,133
46239648,312,316,469
19631736,373,86,612
59581226,619,298,323
72022720,316,407,560
38270232,546,132,531
37916780,188,209,965
153882000,600,618,415
325108,68,7,683
56988828,442,754,171
388192238,557,743,938
68428842,402,589,289
625680,158,18,220
207676224,582,472,756
1201934,58,391,53
33945660,929,174,210
27276590,310,209,421
4769520,595,48,167
27828864,812,136,252
25089988,638,371,106
36429700,230,235,674
253095840,944,810,331
47192488,919,524,98
67008000,375,698,256
11024520,390,191,148
110414900,265,502,830
312364500,994,750,419
710168760,762,980,951
5347872,9,599,992
31499650,637,50,989
604404250,905,925,722
16372895,43,473,805
63800856,914,831,84
46347015,341,663,205
120805020,742,402,405
4307210,305,307,46
27961920,292,336,285
12837816,237,148,366
140212800,175,936,856
197368640,511,710,544
39348540,334,561,210
8188337,73,223,503
26050923,293,89,999
270559488,901,782,384
13932342,461,219,138
11124960,55,336,602
366603840,720,906,562
413406360,922,795,564
41028680,490,346,242
